date,ACM1,ACM0
Wed Mar 10 21:03:22 2021,4.52,4.23
Wed Mar 10 21:09:24 2021,4.55,4.26
Wed Mar 10 21:15:26 2021,4.52,4.26
Wed Mar 10 21:21:27 2021,4.52,4.26
Wed Mar 10 21:27:29 2021,4.52,4.23
Wed Mar 10 21:33:31 2021,4.52,4.26
Wed Mar 10 21:39:33 2021,4.55,4.26
Wed Mar 10 21:45:34 2021,4.58,4.29
Wed Mar 10 21:51:36 2021,4.55,4.26
Wed Mar 10 21:57:38 2021,4.58,4.26
Wed Mar 10 22:03:40 2021,4.55,4.23
Wed Mar 10 22:09:41 2021,4.55,4.20
Wed Mar 10 22:15:43 2021,4.55,4.20
Wed Mar 10 22:21:45 2021,4.55,4.20
Wed Mar 10 22:27:46 2021,4.58,4.23
Wed Mar 10 22:33:48 2021,4.58,4.32
Wed Mar 10 22:39:50 2021,4.58,4.44
Wed Mar 10 22:45:52 2021,4.61,4.47
Wed Mar 10 22:51:53 2021,4.58,4.50
Wed Mar 10 22:57:55 2021,4.58,4.52
Wed Mar 10 23:03:57 2021,4.58,4.55
Wed Mar 10 23:09:59 2021,4.58,4.50
Wed Mar 10 23:16:00 2021,4.58,4.44
Wed Mar 10 23:22:02 2021,4.58,4.47
Wed Mar 10 23:28:04 2021,4.58,4.44
Wed Mar 10 23:34:06 2021,4.58,4.44
Wed Mar 10 23:40:07 2021,4.58,4.44
Wed Mar 10 23:46:09 2021,4.58,4.44
Wed Mar 10 23:52:11 2021,4.55,4.41
Wed Mar 10 23:58:13 2021,4.55,4.41
Thu Mar 11 00:04:14 2021,4.55,4.38
Thu Mar 11 00:10:16 2021,4.55,4.38
Thu Mar 11 00:16:18 2021,4.55,4.38
Thu Mar 11 00:22:20 2021,4.50,4.38
Thu Mar 11 00:28:21 2021,4.55,4.35
Thu Mar 11 00:34:23 2021,4.52,4.35
Thu Mar 11 00:40:25 2021,4.55,4.35
Thu Mar 11 00:46:27 2021,4.55,4.35
Thu Mar 11 00:52:28 2021,4.55,4.35
Thu Mar 11 00:58:30 2021,4.58,4.35
Thu Mar 11 01:04:32 2021,4.58,4.35
Thu Mar 11 01:10:33 2021,4.55,4.26
Thu Mar 11 01:16:35 2021,4.52,4.32
Thu Mar 11 01:22:37 2021,4.55,4.35
Thu Mar 11 01:28:39 2021,4.55,4.32
Thu Mar 11 01:34:40 2021,4.52,4.32
Thu Mar 11 01:40:42 2021,4.55,4.32
Thu Mar 11 01:46:44 2021,4.55,4.32
Thu Mar 11 01:52:46 2021,4.55,4.32
Thu Mar 11 01:58:47 2021,4.52,4.35
Thu Mar 11 02:04:49 2021,4.55,4.35
Thu Mar 11 02:10:51 2021,4.55,4.35
Thu Mar 11 02:16:53 2021,4.55,4.35
Thu Mar 11 02:22:54 2021,4.52,4.35
Thu Mar 11 02:28:56 2021,4.47,4.35
Thu Mar 11 02:34:58 2021,4.44,4.35
Thu Mar 11 02:41:00 2021,4.44,4.38
Thu Mar 11 02:47:01 2021,4.41,4.38
Thu Mar 11 02:53:03 2021,4.44,4.38
Thu Mar 11 02:59:05 2021,4.41,4.35
Thu Mar 11 03:05:07 2021,4.47,4.38
Thu Mar 11 03:11:08 2021,4.44,4.35
Thu Mar 11 03:17:10 2021,4.41,4.38
Thu Mar 11 03:23:12 2021,4.44,4.41
Thu Mar 11 03:29:14 2021,4.50,4.41
Thu Mar 11 03:35:15 2021,4.44,4.38
Thu Mar 11 03:41:17 2021,4.38,4.38
Thu Mar 11 03:47:19 2021,4.44,4.38
Thu Mar 11 03:53:20 2021,4.44,4.41
Thu Mar 11 03:59:22 2021,4.44,4.41
Thu Mar 11 04:05:24 2021,4.41,4.41
Thu Mar 11 04:11:26 2021,4.38,4.41
Thu Mar 11 04:17:27 2021,4.41,4.44
Thu Mar 11 04:23:29 2021,4.41,4.41
Thu Mar 11 04:29:31 2021,4.38,4.41
Thu Mar 11 04:35:33 2021,4.38,4.41
Thu Mar 11 04:41:34 2021,4.41,4.44
Thu Mar 11 04:47:36 2021,4.38,4.41
Thu Mar 11 04:53:38 2021,4.41,4.44
Thu Mar 11 04:59:40 2021,4.41,4.41
Thu Mar 11 05:05:41 2021,4.41,4.41
Thu Mar 11 05:11:43 2021,4.38,4.38
Thu Mar 11 05:17:45 2021,4.41,4.41
Thu Mar 11 05:23:47 2021,4.41,4.44
Thu Mar 11 05:29:48 2021,4.41,4.41
Thu Mar 11 05:35:50 2021,4.41,4.41
Thu Mar 11 05:41:52 2021,4.41,4.41
Thu Mar 11 05:47:54 2021,4.41,4.41
Thu Mar 11 05:53:55 2021,4.41,4.41
Thu Mar 11 05:59:57 2021,4.38,4.41
Thu Mar 11 06:05:59 2021,4.41,4.44
Thu Mar 11 06:12:01 2021,4.41,4.47
Thu Mar 11 06:18:02 2021,4.41,4.41
Thu Mar 11 06:24:04 2021,4.41,4.44
Thu Mar 11 06:30:06 2021,4.41,4.44
Thu Mar 11 06:36:08 2021,4.38,4.41
Thu Mar 11 06:42:09 2021,4.41,4.44
Thu Mar 11 06:48:11 2021,4.38,4.41
Thu Mar 11 06:54:13 2021,4.38,4.41
Thu Mar 11 07:00:14 2021,4.38,4.41
Thu Mar 11 07:06:16 2021,4.35,4.35
Thu Mar 11 07:12:18 2021,4.35,4.41
Thu Mar 11 07:18:20 2021,4.38,4.41
Thu Mar 11 07:24:21 2021,4.38,4.41
Thu Mar 11 07:30:23 2021,4.38,4.41
Thu Mar 11 07:36:25 2021,4.38,4.41
Thu Mar 11 07:42:27 2021,4.41,4.41
Thu Mar 11 07:48:28 2021,4.41,4.38
Thu Mar 11 07:54:30 2021,4.38,4.38
Thu Mar 11 08:00:32 2021,4.41,4.35
Thu Mar 11 08:06:34 2021,4.38,4.32
Thu Mar 11 08:12:35 2021,4.38,4.29
Thu Mar 11 08:18:37 2021,4.38,4.29
Thu Mar 11 08:24:39 2021,4.35,4.29
Thu Mar 11 08:30:41 2021,4.35,4.26
Thu Mar 11 08:36:42 2021,4.35,4.26
Thu Mar 11 08:42:44 2021,4.38,4.26
Thu Mar 11 08:48:46 2021,4.38,4.26
Thu Mar 11 08:54:48 2021,4.38,4.29
Thu Mar 11 09:00:49 2021,4.38,4.26
Thu Mar 11 09:06:51 2021,4.38,4.26
Thu Mar 11 09:12:53 2021,4.38,4.29
Thu Mar 11 09:18:54 2021,4.41,4.29
Thu Mar 11 09:24:56 2021,4.29,4.26
Thu Mar 11 09:30:58 2021,4.41,4.29
Thu Mar 11 09:37:00 2021,4.38,4.29
Thu Mar 11 09:43:01 2021,4.38,4.26
Thu Mar 11 09:49:03 2021,4.38,4.26
Thu Mar 11 09:55:05 2021,4.35,4.26
Thu Mar 11 10:01:07 2021,4.38,4.26
Thu Mar 11 10:07:08 2021,4.38,4.26
Thu Mar 11 10:13:10 2021,4.38,4.23
Thu Mar 11 10:19:12 2021,4.38,4.23
Thu Mar 11 10:25:14 2021,4.41,4.23
Thu Mar 11 10:31:15 2021,4.38,4.20
Thu Mar 11 10:37:17 2021,4.38,4.20
Thu Mar 11 10:43:19 2021,4.38,4.20
Thu Mar 11 10:49:21 2021,4.38,4.17
Thu Mar 11 10:55:22 2021,4.38,4.17
Thu Mar 11 11:01:24 2021,4.38,4.17
Thu Mar 11 11:07:26 2021,4.38,4.17
Thu Mar 11 11:13:28 2021,4.35,4.15
Thu Mar 11 11:19:29 2021,4.38,4.15
Thu Mar 11 11:25:31 2021,4.35,4.12
Thu Mar 11 11:31:33 2021,4.38,4.15
Thu Mar 11 11:37:35 2021,4.35,4.12
Thu Mar 11 11:43:36 2021,4.35,4.12
Thu Mar 11 11:49:38 2021,4.41,4.15
Thu Mar 11 11:55:40 2021,4.38,4.12
Thu Mar 11 12:01:41 2021,4.35,4.12
Thu Mar 11 12:07:43 2021,4.35,4.09
Thu Mar 11 12:13:45 2021,4.35,4.09
Thu Mar 11 12:19:47 2021,4.38,4.09
Thu Mar 11 12:25:48 2021,4.38,4.12
Thu Mar 11 12:31:50 2021,4.38,4.09
Thu Mar 11 12:37:52 2021,4.38,4.09
Thu Mar 11 12:43:53 2021,3.65,3.65
Thu Mar 11 12:49:55 2021,5.05,3.30
Thu Mar 11 12:55:57 2021,5.05,3.30
Thu Mar 11 13:01:59 2021,5.05,5.19
Thu Mar 11 13:08:00 2021,5.02,5.14
Thu Mar 11 13:14:02 2021,5.02,5.11
Thu Mar 11 13:20:04 2021,5.02,5.08
Thu Mar 11 13:26:06 2021,5.02,5.05
Thu Mar 11 13:32:07 2021,5.02,5.02
Thu Mar 11 13:38:09 2021,4.99,5.02
